sample_order	tag_pool	site	year	plot	treatment	specification
s76	86_1	Halasen_p_5	2018	2	p_5	
s77	87_1	Halasen	2012	4	forest	middle_lower
s78	88_1	Halasen	2012	13	clearcut	middle_upper
s79	89_1	Fangamon	2012	4	forest_control	
s80	90_1	Halasen_p_5	2018	control	control	
s81	91_1	Halasen	2018	10	clearcut	middle_upper
s82	92_1	Halasen	2018	8	forest	middle_lower
s83	93_1	Fangamon	2018	7	clearcut	
s84	1_2	Fangamon	2018	11	shelter_burn	
s85	4_2	Fangamon	2012	8	shelter_without_burn	
s86	5_2	Fangamon	2018	1	clearcut	
s87	6_2	Fangamon	2012	6	forest_control	
s88	7_2	Fangamon	2012	2	shelter_burn	
s89	8_2	Halasen	2012	3	clearcut	middle_upper
s90	9_2	Halasen_p_5	2018	control	control	
s91	10_2	Fangamon	2018	11	shelter_burn	
s92	11_2	Halasen_p_5	2018	16	p_5	
s93	12_2	Halasen	2018	7	forest	middle_upper
s94	13_2	Halasen_p_5	2018	control	control	
s95	14_2	Halasen	2012	9	forest	midle
s96	15_2	Fangamon	2012	9	shelter_burn	
s97	16_2	control				
s98	17_2	Fangamon	2012	7	clearcut	seedling_roots
s99	18_2	Halasen	2012	8	forest	middle_lower
s100	20_2	Fangamon	2012	10	shelter_without_burn	
s101	21_2	Halasen_p_5	2018	clearcut	clearcut	
s102	22_2	Halasen	2018	4	forest	middle_lower
s103	23_2	Fangamon	2018	7	clearcut	
s104	24_2	Fangamon	2012	8	shelter_without_burn	
s105	25_2	Fangamon	2018	11	shelter_burn	
s106	26_2	Halasen	2012	2	forest	middle_upper
s107	28_2	Halasen_p_5	2018	26	p_5	
s108	29_2	Halasen	2018	3	clearcut	edge_north
s109	30_2	Fangamon	2012	2	shelter_burn	
s110	31_2	Halasen	2012	10	clearcut	edge_south
s111	32_2	Halasen_p_5	2018	18	p_5	
s112	33_2	Halasen	2018	2	forest	middle_lower
s113	34_2	Halasen	2012	6	clearcut	middle_lower
s114	35_2	Fangamon	2012	7	clearcut	
s115	36_2	Fangamon	2018	6	forest_control	
s116	37_2	Halasen_p_5	2018	clearcut	clearcut	
s117	38_2	Halasen	2012	3	clearcut	edge_north
s118	39_2	Fangamon	2018	new_control	forest_control	
s119	41_2	Halasen	2018	2	forest	middle_upper
s120	42_2	Halasen	2018	12	forest	middle_lower
s121	44_2	control				
s122	45_2	Fangamon	2012	11	shelter_burn	
s123	97_2	Halasen	2012	3	clearcut	edge_south
s124	47_2	Fangamon	2012	12	forest_control	
s125	48_2	Halasen_p_5	2018	20	p_5	
s126	49_2	Halasen	2018	11	forest	middle_upper
s127	51_2	Halasen_p_5	2018	control	control	
s128	52_2	Fangamon	2012	5	clearcut	
s129	53_2	Halasen_p_5	2018	control	control	
s130	54_2	Fangamon	2018	7	clearcut	
s131	55_2	Fangamon	2012	4	forest_control	
s132	56_2	Halasen	2012	7	forest	middle_lower
s133	57_2	Halasen_p_5	2018	6	p_5	
s134	58_2	Fangamon	2012	7	clearcut	
s135	60_2	Fangamon	2012	9	shelter_burn	
s136	61_2	Fangamon	2018	4	forest_control	
s137	63_2	Fangamon	2018	new_control	forest_control	
s138	65_2	Halasen_p_5	2018	control	control	
s139	66_2	Halasen	2018	13	clearcut	edge_south
s140	67_2	Fangamon	2012	5	clearcut	seedling_roots
s141	68_2	Halasen_p_5	2018	control	control	
s142	69_2	Halasen	2012	13	clearcut	edge_north
s143	70_2	Halasen	2018	6	clearcut	middle_lower
s144	71_2	Halasen	2012	10	clearcut	middle_lower
s145	72_2	control				
s146	73_2	Halasen	2018	10	clearcut	edge_south
s147	74_2	Halasen	2018	6	clearcut	edge_south
s148	98_2	Halasen	2018	4	forest	middle_upper
s149	76_2	Halasen_p_5	2018	control	control	
s150	77_2	Halasen	2018	5	forest	middle_upper
s151	78_2	Fangamon	2012	11	shelter_burn	
s152	79_2	Fangamon	2012	7	clearcut	seedling_roots
s153	80_2	Halasen	2018	9	forest	middle
s154	81_2	Halasen_p_5	2018	control	control	
s155	99_2	Fangamon	2012	8	shelter_without_burn	
s156	83_2	Halasen	2018	10	clearcut	middle_lower
s157	84_2	Fangamon	2012	11	shelter_burn	
s158	85_2	Fangamon	2012	10	shelter_without_burn	
s159	86_2	Fangamon	2012	9	shelter_burn	
s160	87_2	Fangamon	2012	1	clearcut	
s161	88_2	Halasen	2012	6	clearcut	edge_south
s162	89_2	Halasen	2018	6	clearcut	middle_upper
s163	90_2	Fangamon	2018	3	shelter_without_burn	
s164	91_2	Halasen	2012	3	clearcut	middle_lower
s165	92_2	Fangamon	2012	4	forest_control	
s166	93_2	Halasen	2018	8	forest	middle_upper
sQ1	95_2					
sQ2	96_2					
sITS_standard1	40_1					
sITS_standard2	40_2					
sPCR_neg_1	50_1					
sPCR_neg_10	95_1					
sPCR_neg_2	94_1					
sPCR_neg_3	50_2					
sPCR_neg_4	94_2					
sPCR_neg_5	100_2					
sPCR_neg_6	100_1					
sPCR_neg_7	96_1					
